"referenceId","Bodega","SKU","Entry ID","Fecha de entrada","Fecha de vencimiento","Inv Entra","Inv Vendido","Inv en Transito","Inv Dañado","Inv Destruido","Inv Donado","Inv Mercadeo","Inv Ajustado","Inv Disponible","Precio Unidad","Vence en","Días de Inv","En Bodega"
"1517","Hydratade Pool Mandarina",Quick,7709117323639,2,,0,,,,,,,,,652,,,
"1518","Energy Pool",Quick,7709990654912,2,,0,,,,,,,,,625,,,
"1525","Almendra Sal",Quick,7702409010545,2,,0,,,,,,,,,2113,,,
"1526","Arandanos",Quick,7702409011740,2,,0,,,,,,,,,960,,,
"1527","SuperMix",Quick,7702409012228,2,,0,,,,,,,,,1184,,,
"1528","Mix Verano ",Quick,7702409012273,2,,0,,,,,,,,,936,,,
"1530","Mani Chocolate ",Quick,7702409011085,2,,0,,,,,,,,,1006,,,
"1531","Mani Pasas ",Quick,7702409000362,2,,0,,,,,,,,,870,,,
"1532","Mani Sal",Quick,7702409012020,2,,0,,,,,,,,,2191,,,
"1533","Mani Sal ",Quick,7702409000331,2,,0,,,,,,,,,795,,,
"1537","Olivetto Aceitunas",Quick,7702109013884,2,,0,,,,,,,,,2955,,,
"1538","Campi con Sal",Quick,7702109013099,2,,0,,,,,,,,,1878,,,
"1540","Colección Vasos ÁGUILA Mundiales Selección Colombia",Quick,7707358311682,2,,0,,,,,,,,,10000,,,
"1541","Aromatica Con Sobreenvoltura Surtida ",Quick,7702746030312,2,,0,,,,,,,,,1934,,,
"1542","Ice Tea Frutos Rojos Light",Quick,7702746066250,2,,0,,,,,,,,,3499,,,
"1543","Ice Tea Manzana Light ",Quick,7702746063051,2,,0,,,,,,,,,3499,,,
"1544","Infusion Frutal Frutos Rojos ",Quick,7702746090019,2,,0,,,,,,,,,3847,,,
"1545","Infusion Frutal Frutos Tropicales ",Quick,7702746090026,2,,0,,,,,,,,,3847,,,
"1546","Te Verde Original",Quick,7702746070011,2,,0,,,,,,,,,3848,,,
"1547","Te Verde Piña",Quick,7702746070042,2,,0,,,,,,,,,3848,,,
"1552","Babero Impermeable Cupcake",Quick,BAB0000000001,2,,0,,,,,,,,,8403,,,
"1553","Babero Impermeable Fuscia Puntos ",Quick,BAB0000000002,2,,0,,,,,,,,,8403,,,
"1554","Babero Impermeable Zig-Zag",Quick,BAB0000000003,2,,0,,,,,,,,,8403,,,
"1555","Babero Impermeable Vaqueros ",Quick,BAB0000000004,2,,0,,,,,,,,,8403,,,
"1556","Babero Impermeable Flores ",Quick,BAB0000000005,2,,0,,,,,,,,,8403,,,
"1557","Babero Imperial Robot ",Quick,BAB0000000006,2,,0,,,,,,,,,8403,,,
"1558","Babero Impermeable Mariposa ",Quick,BAB0000000007,2,,0,,,,,,,,,8403,,,
"1559","Banda Picnic Rosada ",Quick,BAN0000000001,2,,0,,,,,,,,,7563,,,
"1560","Banda Beige- Flores Blancas ",Quick,BAN0000000002,2,,0,,,,,,,,,7563,,,
"1561","Banda Azul Flores Blancas ",Quick,BAN0000000003,2,,0,,,,,,,,,7563,,,
"1562","Banda Rayas Moradas",Quick,BAN0000000004,2,,0,,,,,,,,,7563,,,
"1563","Banda Pepas Rosada ",Quick,BAN0000000005,2,,0,,,,,,,,,7563,,,
"1564","Banda Beige-Flores ",Quick,BAN0000000006,2,,0,,,,,,,,,7563,,,
"1565","Banda Naranja Flores Blancas ",Quick,BAN0000000007,2,,0,,,,,,,,,7563,,,
"1566","Banda Rosa Flores Blancas ",Quick,BAN0000000008,2,,0,,,,,,,,,7563,,,
"1567","Banda Azul- Café ",Quick,BAN0000000009,2,,0,,,,,,,,,7563,,,
"1568","Capa Lactancia Azul Flores",Quick,CAP0000000001,2,,0,,,,,,,,,16807,,,
"1569","Capa Azul Flores Naranja ",Quick,CAP0000000002,2,,0,,,,,,,,,16807,,,
"1570","Capa Fuscia-Flores Blancas",Quick,CAP0000000003,2,,0,,,,,,,,,16807,,,
"1571","Capa Blanca Flores Negras",Quick,CAP0000000004,2,,0,,,,,,,,,16807,,,
"1572","Capa  Morada Flores Fuscia",Quick,CAP0000000005,2,,0,,,,,,,,,16807,,,
"1573","Cambiador  Portatil Amarillo ",Quick,CAM0000000001,2,,0,,,,,,,,,12605,,,
"1574","Coche Metálico Super Sport ",Quick,282ROJO,2,,0,,,,,,,,,13445,,,
"1576","Anillos Formas Niña",Quick,GF00004,2,,0,,,,,,,,,7059,,,
"1583","Coche Metálico Super Sport Naranja",Quick,282NARANJA,2,,0,,,,,,,,,13445,,,
"1584","Coche Metálico Super Sport Blanco",Quick,282BLANCO,2,,0,,,,,,,,,13445,,,
"1585","Coche Metálico Super Sport Verde",Quick,282VERDE,2,,0,,,,,,,,,13445,,,
"1586","Coche Metálico Super Sport Amarillo",Quick,282AMARILLO,2,,0,,,,,,,,,13445,,,
"1587","Coche Metálico Sport lamborghini Azul",Quick,5401SAZUL,2,,0,,,,,,,,,10756,,,
"1588","Coche Metálico Sport lamborghini Verde",Quick,5401SVERDE,2,,0,,,,,,,,,10756,,,
"1589","Coche Metálico Sport lamborghini Gris",Quick,5401SGRIS,2,,0,,,,,,,,,10756,,,
"1590","Avión Metálico Air Express Azul",Quick,9010AZUL,2,,0,,,,,,,,,13782,,,
"1591","Avión Metálico Air Express Blanco",Quick,9010BLANCO,2,,0,,,,,,,,,13782,,,
